y, x, z
0, 0, 1908
0, 1, 1908
0, 2, 1908
0, 3, 1908
0, 4, 1911
0, 5, 1915
0, 6, 1919
0, 7, 1922
0, 8, 1929
0, 9, 1852
0, 10, 1790
0, 11, 1824
0, 12, 1865
0, 13, 1840
0, 14, 1821
0, 15, 1981
0, 16, 1993
0, 17, 2005
0, 18, 2016
0, 19, 2029
0, 20, 2044
0, 21, 2056
0, 22, 2073
0, 23, 2090
0, 24, 2109
0, 25, 2130
0, 26, 2149
0, 27, 2168
0, 28, 2189
0, 29, 2212
0, 30, 2239
0, 31, 2266
0, 32, 2295
0, 33, 2323
0, 34, 2350
0, 35, 2373
0, 36, 2399
0, 37, 2433
0, 38, 2380
0, 39, 2506
0, 40, 2546
0, 41, 2589
0, 42, 2636
0, 43, 2686
0, 44, 2732
0, 45, 2787
0, 46, 2837
0, 47, 2897
0, 48, 2956
0, 49, 3027
0, 50, 3087
0, 51, 3160
0, 52, 3207
0, 53, 3168
0, 54, 3133
0, 55, 3088
0, 56, 3051
0, 57, 3022
0, 58, 2980
0, 59, 2955
0, 60, 2917
0, 61, 2890
0, 62, 2885
0, 63, 2293
0, 64, 2171
0, 65, 2729
0, 66, 2724
0, 67, 2683
0, 68, 2663
0, 69, 2655
0, 70, 2623
0, 71, 2621
0, 72, 2589
0, 73, 2573
0, 74, 2583
0, 75, 2548
0, 76, 2558
0, 77, 2527
0, 78, 2515
0, 79, 2521
0, 80, 2496
0, 81, 2504
0, 82, 2482
0, 83, 1947
0, 84, 750
0, 85, 1108
0, 86, 1176
0, 87, 1095
0, 88, 1090
0, 89, 1311
0, 90, 1084
0, 91, 1145
0, 92, 1074
0, 93, 1068
0, 94, 1153
0, 95, 948
0, 96, 837
0, 97, 754
0, 98, 0
0, 99, 153
0, 100, 0
0, 101, 109
0, 102, 0
0, 103, 0
0, 104, 170
0, 105, 0
0, 106, 117
0, 107, 0
0, 108, 0
0, 109, 141
0, 110, 25
0, 111, 264
0, 112, 0
0, 113, 12
0, 114, 145
0, 115, 0
0, 116, 94
0, 117, 0
0, 118, 0
0, 119, 119
0, 120, 0
0, 121, 93
0, 122, 0
0, 123, 0
0, 124, 96
0, 125, 0
0, 126, 93
0, 127, 0
0, 128, 0
0, 129, 117
0, 130, 0
0, 131, 117
0, 132, 0
0, 133, 0
0, 134, 91
0, 135, 0
0, 136, 88
0, 137, 0
0, 138, 0
0, 139, 111
0, 140, 0
0, 141, 110
0, 142, 0
0, 143, 0
0, 144, 0
0, 145, 0
0, 146, 0
0, 147, 0
0, 148, 0
0, 149, 0
0, 150, 0
0, 151, 0
0, 152, 0
0, 153, 0
0, 154, 0
0, 155, 0
0, 156, 0
0, 157, 0
0, 158, 0
0, 159, 0
0, 160, 0
0, 161, 0
0, 162, 0
0, 163, 0
0, 164, 0
0, 165, 0
0, 166, 0
0, 167, 0
0, 168, 0
0, 169, 0
0, 170, 0
0, 171, 0
0, 172, 0
0, 173, 0
0, 174, 0
0, 175, 0
0, 176, 0
0, 177, 0
0, 178, 0
0, 179, 0
0, 180, 0
0, 181, 0
0, 182, 0
0, 183, 0
0, 184, 0
0, 185, 0
0, 186, 0
0, 187, 0
0, 188, 0
0, 189, 0
0, 190, 0
0, 191, 0
0, 192, 0
0, 193, 0
0, 194, 0
0, 195, 0
0, 196, 0
0, 197, 0
0, 198, 0
0, 199, 0
0, 200, 0
0, 201, 0
0, 202, 0
0, 203, 0
0, 204, 0
0, 205, 0
0, 206, 0
0, 207, 0
0, 208, 0
0, 209, 0
0, 210, 0
0, 211, 0
0, 212, 0
0, 213, 0
0, 214, 0
0, 215, 0
0, 216, 0
0, 217, 0
0, 218, 0
0, 219, 0
0, 220, 0
0, 221, 0
0, 222, 0
0, 223, 0
0, 224, 0
0, 225, 0
0, 226, 0
0, 227, 0
0, 228, 0
0, 229, 0
0, 230, 0
0, 231, 0
0, 232, 0
0, 233, 0
0, 234, 0
0, 235, 114
0, 236, 159
0, 237, 161
0, 238, 164
0, 239, 168
0, 240, 171
0, 241, 176
0, 242, 181
0, 243, 186
0, 244, 192
0, 245, 197
0, 246, 204
0, 247, 210
0, 248, 218
0, 249, 227
0, 250, 236
0, 251, 245
0, 252, 254
